Nom,Age,Nationalite,Valeur_Marchande,Prix_Raw,URL_Profil
Wilder Cartagena,29,Pérou,"2,50 mio. €",?,https://www.transfermarkt.fr/wilder-cartagena/profil/spieler/224669
Konstantin Kuchaev,25,Russie,Inconnu,"2,50 mio. €",https://www.transfermarkt.fr/konstantin-kuchaev/profil/spieler/381834
Corey Baird,27,États-Unis,Inconnu,"2,50 mio. €",https://www.transfermarkt.fr/corey-baird/profil/spieler/336182
Nicolás Freire,29,Argentine,Inconnu,"2,50 mio. €",https://www.transfermarkt.fr/nicolas-freire/profil/spieler/266809
José Esquivel,25,Mexique,"2,50 mio. €",?,https://www.transfermarkt.fr/jose-esquivel/profil/spieler/335086
Maximiliano Romero,24,Argentine,"2,30 mio. €","2,47 mio. €",https://www.transfermarkt.fr/maximiliano-romero/profil/spieler/365758
Mohammed Al-Mahasneh,26,Arabie Saoudite,175 K €,"2,41 mio. €",https://www.transfermarkt.fr/mohammed-al-mahasneh/profil/spieler/901096
Panos Katseris,22,Grèce,500 K €,"2,40 mio. €",https://www.transfermarkt.fr/panos-katseris/profil/spieler/816308
Tommaso Augello,28,Italie,"2,00 mio. €","2,40 mio. €",https://www.transfermarkt.fr/tommaso-augello/profil/spieler/284595
Doğucan Haspolat,23,Turquie,"2,40 mio. €",600 K €,https://www.transfermarkt.fr/dogucan-haspolat/profil/spieler/387143
Manu Vallejo,26,Espagne,Inconnu,"2,40 mio. €",https://www.transfermarkt.fr/manu-vallejo/profil/spieler/527350
Bartlomiej Dragowski,26,Pologne,Inconnu,"2,40 mio. €",https://www.transfermarkt.fr/bartlomiej-dragowski/profil/spieler/208166
Efkan Bekiroğlu,27,Turquie,Inconnu,"2,40 mio. €",https://www.transfermarkt.fr/efkan-bekiroglu/profil/spieler/327402
Giorgi Chakvetadze,23,Géorgie,Inconnu,"2,40 mio. €",https://www.transfermarkt.fr/giorgi-chakvetadze/profil/spieler/412616
Gennaro Tutino,26,Italie,Inconnu,"2,40 mio. €",https://www.transfermarkt.fr/gennaro-tutino/profil/spieler/202979
Olivier Kemen,27,Cameroun,Inconnu,"2,40 mio. €",https://www.transfermarkt.fr/olivier-kemen/profil/spieler/243725
Bernard Mensah,28,Ghana,Inconnu,"2,40 mio. €",https://www.transfermarkt.fr/bernard-mensah/profil/spieler/324321
Gastón Martirena,23,Uruguay,"1,20 mio. €","2,36 mio. €",https://www.transfermarkt.fr/gaston-martirena/profil/spieler/744324
Omri Gandelman,23,Israël,"1,50 mio. €","2,35 mio. €",https://www.transfermarkt.fr/omri-gandelman/profil/spieler/780548
Sergio Córdova,26,Venezuela,"1,50 mio. €","2,35 mio. €",https://www.transfermarkt.fr/sergio-cordova/profil/spieler/377387
Ashley Phillips,18,Angleterre,"2,00 mio. €","2,30 mio. €",https://www.transfermarkt.fr/ashley-phillips/profil/spieler/859951
Tobias Gulliksen,20,Norvège,"1,70 mio. €","2,30 mio. €",https://www.transfermarkt.fr/tobias-gulliksen/profil/spieler/619657
Lucas Di Yorio,27,Argentine,"1,80 mio. €","2,30 mio. €",https://www.transfermarkt.fr/lucas-di-yorio/profil/spieler/439108
Ross McCrorie,25,Écosse,"1,00 mio. €","2,30 mio. €",https://www.transfermarkt.fr/ross-mccrorie/profil/spieler/293746
Bobby Thomas,22,Angleterre,450 K €,"2,30 mio. €",https://www.transfermarkt.fr/bobby-thomas/profil/spieler/788283
